Time,Time Code,Country Name,Country Code,"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,"Bahamas, The",BHS,14.950949385286,9.75173339297696,..,..,81.6555480957031,10.2,20.18,27.3367763973892,30.8188121429007,..,..,..,72.765,42.2236854645169,34957.724327251,32791.1312740782,5.72797116772737,1.99439665424433,..,81.3962709176308,1.59160618079802,800,..,16.8,..,..,1.36492139898865,2365,5.54166666666667
2005,YR2005,Bahrain,BHR,..,14.0567332418424,..,22.4983291625977,83.2297515869141,..,..,26.7352737398905,46.2098450428364,..,..,..,76.931,33.6209198317869,51187.3077835799,21999.6165028439,6.56659445840229,-1.33644959520269,108.742693829694,148.313525108923,2.58620689655173,53401,..,10.7,..,..,7.89520208580362,..,7.82185358255452
2005,YR2005,Bangladesh,BGD,2.54909799950841,5.18022516467283,0.147,6.29582977294922,46.6028785705566,4.25,9.27,25.8304355145863,21.0557137508456,..,..,..,67.299,58.0295100739083,3318.83416270037,759.154640105719,1.17065167127711,4.93096820280539,4.74928022927604,34.396934864465,7.04661816222039,-715970,..,64.5,33.2,..,1.51797511096499,422578,10.615
2005,YR2005,Barbados,BRB,10.7615863320432,16.6972116769211,..,..,107.731002807617,..,..,18.9187066369944,9.77222149496007,..,22.6382,5.66965007781982,74.89,30.6972444950064,17139.9402390073,17377.9565573781,10.2123680027307,3.58049163318141,..,97.616180128289,6.08218729535043,-172,..,15.4,..,..,0.361350772944923,1348,9.16666666666667
2005,YR2005,Belarus,BLR,..,20.785312392899,..,63.722110748291,..,1.5,..,28.4604661956657,27.2268166246844,27.35101,..,5.8710298538208,68.8512195121951,22.1208054330508,16589.7310182455,3880.03540993424,1.01489264466989,10.1497672379881,..,118.88435169233,10.3388794457932,-11902,..,8.7,27.6,..,-0.683005560010688,..,11.3583333333333
2005,YR2005,Belgium,BEL,..,22.093997631255,..,62.8203315734863,157.343399047852,8.44,21.482,23.6810632000764,27.7176703728838,33.67031,..,5.79585981369019,78.9804878048781,26.131122016947,55164.0226862774,38426.0519083731,8.72717720186463,1.76045559407572,74.7912935279234,144.529050669983,2.78143263670022,46280,..,5,29.3,4604513000,0.550055708089009,..,..
2005,YR2005,Belize,BLZ,28.8898796255016,14.6131647363032,..,16.0521106719971,75.5892333984375,10.91,..,17.8896380837747,25.4154973251971,..,20.50685,..,69.376,65.4193215719495,12634.8275551454,6305.35056027776,8.64413142209728,-0.787504099918522,..,93.3868420920502,-1.1043104441191,2397,..,20.9,..,..,2.98554490009989,1558,14.255
2005,YR2005,Benin,BEN,..,8.9910736442313,..,5.65152978897095,..,..,..,12.0860448919113,9.95739440709404,145.62578,..,2.6566801071167,57.125,84.7810574617461,2721.86182641779,924.269524057926,-0.133820369489742,-1.46781382104416,..,39.0959311879142,5.36452085832343,30492,..,121.1,..,..,3.177348170646,..,8.04416666666667
2005,YR2005,Bermuda,BMU,3.17669575990533,..,..,..,93.3097915649414,..,..,..,..,..,14.02632,1.98877000808716,77.927,24.9076225246156,106021.643172871,119396.449407765,0.897674181658031,1.01807989701432,43.6466853021362,..,..,-80,..,..,..,..,0.647413398667903,682,..
2005,YR2005,Bhutan,BTN,1.65831729036985,23.8619695909005,..,4.86986017227173,44.0077285766602,3.1,..,61.2151499544783,36.2837445516224,..,..,6.76420021057129,65.805,53.6346927165134,6783.8823440419,1612.81173557504,0.721867150911614,4.78580425762418,..,97.7434135429344,5.31263104637751,1779,..,57.1,..,..,2.03035343996667,1499,14.5
